,condition
SRR975551,primary_colorectal_cancer
SRR975552,primary_colorectal_cancer
SRR975553,primary_colorectal_cancer
SRR975554,primary_colorectal_cancer
SRR975555,primary_colorectal_cancer
SRR975556,primary_colorectal_cancer
SRR975557,primary_colorectal_cancer
SRR975558,primary_colorectal_cancer
SRR975559,primary_colorectal_cancer
SRR975560,primary_colorectal_cancer
SRR975561,primary_colorectal_cancer
SRR975562,primary_colorectal_cancer
SRR975563,primary_colorectal_cancer
SRR975564,primary_colorectal_cancer
SRR975565,primary_colorectal_cancer
SRR975566,primary_colorectal_cancer
SRR975567,primary_colorectal_cancer
SRR975568,primary_colorectal_cancer
SRR975569,normal_colon
SRR975570,normal_colon
SRR975571,normal_colon
SRR975572,normal_colon
SRR975573,normal_colon
SRR975574,normal_colon
SRR975575,normal_colon
SRR975576,normal_colon
SRR975577,normal_colon
SRR975578,normal_colon
SRR975579,normal_colon
SRR975580,normal_colon
SRR975581,normal_colon
SRR975582,normal_colon
SRR975583,normal_colon
SRR975584,normal_colon
SRR975585,normal_colon
SRR975586,normal_colon
SRR975587,metastasized_cancer
SRR975588,metastasized_cancer
SRR975589,metastasized_cancer
SRR975590,metastasized_cancer
SRR975591,metastasized_cancer
SRR975592,metastasized_cancer
SRR975593,metastasized_cancer
SRR975594,metastasized_cancer
SRR975595,metastasized_cancer
SRR975596,metastasized_cancer
SRR975597,metastasized_cancer
SRR975598,metastasized_cancer
SRR975599,metastasized_cancer
SRR975600,metastasized_cancer
SRR975601,metastasized_cancer
SRR975602,metastasized_cancer
SRR975603,metastasized_cancer
SRR975604,metastasized_cancer
