"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"CYP2E1",8141.58490230907,9.09040523462616,0.476104068983173,19.0933155728762,2.86964572737369e-81,8.19513426823378e-77,9.09040523462616
"HP",32942.0162329035,9.75627022322338,0.533335333845546,18.2929380524576,9.41983791688172e-75,1.19064295751384e-70,9.75627022322338
"CRP",6267.34315551499,9.3554584318138,0.51185716963102,18.2774785367524,1.25076296398261e-74,1.19064295751384e-70,9.3554584318138
"AMBP",8820.79597081439,9.54097023593248,0.528694730122877,18.0462745178394,8.43948927530448e-73,6.02537336810364e-69,9.54097023593248
"HPX",7045.16114918172,8.94938226484877,0.498419035685067,17.9555386614559,4.3434734901877e-72,2.48081831865561e-68,8.94938226484877
"IGFBP1",1280.78018623554,9.28961814789331,0.521418862596815,17.8160377659303,5.30645662876188e-71,2.52569647340303e-67,9.28961814789331
"ORM1",9697.7682526809,9.6502171574359,0.54269344348861,17.782078028069,9.73056287720658e-71,3.96979163781808e-67,9.6502171574359
"ITIH3",4300.4877856021,8.39624824045627,0.472765147855869,17.7598714256661,1.44565344403897e-70,5.16062138185811e-67,8.39624824045627
"ITIH2",4379.10411847269,9.50860203090393,0.536082345576239,17.7372041988867,2.16439464108415e-70,6.86786468445347e-67,9.50860203090393
"APOA1-AS",3134.83065841159,9.73214249378451,0.54918074040381,17.7212013783086,2.87701970320512e-70,8.21619286841319e-67,9.73214249378451
"APOH",7228.67548050315,9.11735024706936,0.515831721171711,17.6750476422026,6.52852438418586e-70,1.694923630578e-66,9.11735024706936
"APOA1",14380.9153994545,9.43775102621616,0.536561436802992,17.5893204000074,2.97423111956053e-69,7.07817435936746e-66,9.43775102621616
"ITIH1",4041.19622611871,9.76982789558835,0.555799655807603,17.5779667970329,3.63374881600192e-69,7.98250759133714e-66,9.76982789558835
"FGB",32946.3877952616,9.64711674069848,0.553328638475754,17.4346962544235,4.49943928429633e-68,9.17821336292391e-65,9.64711674069848
"VTN",7613.40568228205,9.44045428798322,0.542451106770675,17.4033275444569,7.78465019262888e-68,1.48209360134064e-64,9.44045428798322
"FGL1",4182.59437427754,9.34901794527359,0.539232648858133,17.3376333296414,2.44602959994353e-67,4.36585708219922e-64,9.34901794527359
"APCS",1666.2263001202,9.59824599449037,0.560405088271501,17.1273355566684,9.28088602514051e-66,1.55907966532919e-62,9.59824599449037
"FGG",27871.7543636172,9.76426327366758,0.570603069558771,17.1121814700681,1.20404349354949e-65,1.91028189382147e-62,9.76426327366758
"FGA",33580.9499644139,9.5848989542452,0.560805348996985,17.0913115778729,1.72255595460365e-65,2.589092260609e-62,9.5848989542452
"F2",2960.3484696027,9.60552375441864,0.563100471539558,17.0582768793577,3.03372592906217e-65,4.33185725410787e-62,9.60552375441864
"APOA2",5427.77855683965,9.6500006502496,0.574617241211837,16.7937889052864,2.70979418879648e-63,3.45948178783137e-60,9.6500006502496
"ORM2",1399.33605485351,9.19135235633823,0.547360423790604,16.7921390675012,2.78619234960857e-63,3.45948178783137e-60,9.19135235633823
"C8B",1549.97460346027,10.075764922096,0.601317794450407,16.7561396238158,5.1072787956192e-63,6.07723616022055e-60,10.075764922096
"APOC3",4183.74504567705,9.45931540439949,0.565757900945488,16.719723027449,9.41557900158802e-63,1.0755604205094e-59,9.45931540439949
"SERPINC1",3735.56510486045,9.50765463761147,0.571003818123746,16.6507724394077,2.98721487653362e-62,3.28111086323258e-59,9.50765463761147
"PLG",5001.30330617158,9.66026367787295,0.582432353893536,16.5860698041489,8.78866522940738e-62,9.29580376375614e-59,9.66026367787295
"ADH4",2973.3112061803,8.72984164618759,0.528010473340567,16.5334630409061,2.10683641777237e-61,2.14882265781226e-58,8.72984164618759
"GC",5346.94140020018,9.43911198097383,0.571123691133302,16.5272639316423,2.33505008674193e-61,2.29946070266124e-58,9.43911198097383
