"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"INHBA",571.136889641577,4.98921533065806,0.464185384029668,10.7483249199832,6.0347576600924e-27,1.68713719903203e-22,4.98921533065806
"COL11A1",462.423482401421,5.37632015076951,0.504567932726251,10.6552949604239,1.64721658799112e-26,2.30256170752339e-22,5.37632015076951
"ADAM12",281.04911435567,4.144554527293,0.392682509633311,10.5544668418342,4.84381624064097e-26,4.51395235465332e-22,4.144554527293
"ETV4",1101.24428331322,4.18201705746616,0.397902237192278,10.5101622121448,7.7560028060628e-26,5.42086426122745e-22,4.18201705746616
"COL10A1",262.491301372282,6.58338827703794,0.644440534463789,10.2156644794476,1.68719160216554e-24,9.43376312434842e-21,6.58338827703794
"CLDN1",1512.81399694688,4.0873688229379,0.41755811906912,9.78874230023367,1.25851535750583e-22,5.86405230829842e-19,4.0873688229379
"WTAPP1",242.452261352252,4.96526022366063,0.550827651826981,9.01418112760295,1.9834669734691e-19,5.54517861772756e-16,4.96526022366063
"MMP1",718.223055031902,5.11255005493824,0.56913696429094,8.98298718184245,2.63513241144914e-19,6.69730880244396e-16,5.11255005493824
"WNT2",83.9172762585686,4.97539698776244,0.590823262366925,8.42112574889192,3.72883772504729e-17,5.79150645995261e-14,4.97539698776244
"CLEC5A",57.6870836587508,4.10003317702767,0.499336107944103,8.21096874790125,2.19410992447951e-16,2.66698831124668e-13,4.10003317702767
"MMP3",265.089230478701,5.02521855933378,0.617813947838853,8.13387036163924,4.1579719522573e-16,4.72677004569299e-13,5.02521855933378
"KRT17",343.510493872716,5.6465199944271,0.694368313166434,8.13188028220648,4.22682158823639e-16,4.72677004569299e-13,5.6465199944271
"FOXQ1",820.183944670105,4.58270066695922,0.563961442160871,8.1259113201076,4.44013581694941e-16,4.7743414244021e-13,4.58270066695922
"SIM2",192.533827157984,4.43957568087352,0.558797247163559,7.94487750862892,1.94382769924969e-15,1.81145303293079e-12,4.43957568087352
"BEST4",1206.14571391653,-4.3943628056538,0.55520075746287,-7.91490779972086,2.47436391181827e-15,2.23147715750656e-12,4.3943628056538
"MMP7",871.322335379374,5.57459958995387,0.706613800550487,7.88917451882624,3.04191887672755e-15,2.57705836474764e-12,5.57459958995387
"LINC02418",120.44495516835,5.39656678992978,0.702171584217578,7.68553856525413,1.52354702147577e-14,1.18316122442772e-11,5.39656678992978
"CDH3",911.834744770523,4.00355913811755,0.527629784053623,7.58781869241608,3.25335699876128e-14,2.21839272230169e-11,4.00355913811755
"ESM1",121.693663398496,4.25016475989936,0.56321963705273,7.54619420256729,4.48161621463946e-14,2.97804107791267e-11,4.25016475989936
"LINC01614",62.5171827820737,5.0468363023366,0.682697308076722,7.39249480352343,1.44099133262977e-13,8.05715893726607e-11,5.0468363023366
"LOC105373974",87.6717212620108,6.3755774965208,0.863635086025203,7.38225854841514,1.55626597811587e-13,8.53108391180104e-11,6.3755774965208
"CA9",414.684310075545,4.40564248813021,0.601756074284423,7.32130954119436,2.45562665044105e-13,1.16359244519289e-10,4.40564248813021
"IL11",33.3145656939362,4.08867410438535,0.570280185837706,7.16958822333857,7.52236801594731e-13,3.04786728437448e-10,4.08867410438535
"COMP",264.430789284011,5.50818462871232,0.770224296168913,7.15140337186189,8.58951747822622e-13,3.38221324139113e-10,5.50818462871232
"LINC02163",10.7076005489022,5.28928179653348,0.74396860494224,7.10954973287364,1.1642214441454e-12,4.28264985710169e-10,5.28928179653348
"LOC124906274",7.28853319392507,4.79023183531905,0.674008037999437,7.10708413736017,1.18520188990343e-12,4.30320639428963e-10,4.79023183531905
"DSC3",139.003629316697,4.48469649254238,0.639957722738844,7.00780119247426,2.42092465631971e-12,7.86997565310814e-10,4.48469649254238
"WT1",51.4866628793251,5.46821863941719,0.793509140751148,6.89118544272961,5.53293542427581e-12,1.62825553322609e-09,5.46821863941719
"CST2",20.7848851447918,4.48298512027418,0.659129455865421,6.80137275065052,1.03626908591838e-11,2.86841335000201e-09,4.48298512027418
"LINC00858",18.9535414502098,4.33429242136457,0.648225748458961,6.68639348509152,2.28737491477895e-11,5.60948600811186e-09,4.33429242136457
"KRT6B",179.634716404854,5.77820985688494,0.869565446558509,6.64493958419511,3.03341474882564e-11,7.04077627280959e-09,5.77820985688494
"IBSP",31.7737465778499,5.78598571781414,0.871560525810064,6.63865049697657,3.16568021157685e-11,7.13733239314952e-09,5.78598571781414
"LOC107985492",19.9735911733202,4.98761964727766,0.756437006594134,6.59356906629209,4.2937686363715e-11,9.01797024748609e-09,4.98761964727766
"DKK4",5.79091889711737,5.16603722200426,0.789939402696063,6.53978926025537,6.16055796394898e-11,1.22149446097959e-08,5.16603722200426
"MS4A10",8.85313522688035,-4.08085785885367,0.633764592925911,-6.439075177762,1.20203655948227e-10,2.16808619957716e-08,4.08085785885367
"MMP8",9.44674151879504,5.53826685134178,0.860412167789504,6.43676026289844,1.22050473913561e-10,2.17335356637034e-08,5.53826685134178
"ISM2",70.7745804362699,5.16445888634254,0.80627300798918,6.40534761199875,1.50027166964904e-10,2.57319601646492e-08,5.16445888634254
"FEZF1-AS1",29.7915542470767,7.20403189659882,1.13645195370255,6.33905540232313,2.31178104266893e-10,3.59058125610529e-08,7.20403189659882
"NOTUM",389.036198081266,4.57328052774927,0.721929237760654,6.33480442201661,2.37642523837941e-10,3.67059228670569e-08,4.57328052774927
"C5orf46",16.252005139164,5.17377586395899,0.81712579380575,6.33167610566081,2.42512160205661e-10,3.70487019828943e-08,5.17377586395899
"SEC14L4",68.5974048488229,4.4351741758818,0.705973449266925,6.28235265856986,3.33487285405047e-10,4.75678777452495e-08,4.4351741758818
"CEL",290.638304647626,4.07435870569521,0.650059359738088,6.26767178206125,3.66486231710132e-10,5.09744058702496e-08,4.07435870569521
"KRT80",449.485932499321,4.10527827629455,0.658958277376149,6.2299517545193,4.66578838729217e-10,6.09539467025828e-08,4.10527827629455
"KIF26B",10.0431392575651,4.02410957001227,0.651340981565995,6.17819189011761,6.48398781319447e-10,7.71373818270118e-08,4.02410957001227
"LOC105378456",7.62517723034997,5.98285706271353,0.973602930612442,6.14506887212226,7.99288259803815e-10,9.08361865013628e-08,5.98285706271353
"IGF2BP3",126.830726180673,4.15423908453626,0.678793998256649,6.12002919178074,9.35582162436674e-10,1.00988689248039e-07,4.15423908453626
"LINC01705",3.67415537259995,5.4097970345802,0.886891749296537,6.09972641967989,1.06250158389608e-09,1.11989380640118e-07,5.4097970345802
"CASC21",21.4020086746336,4.25125199500562,0.697009899095856,6.0992706136889,1.06553547413068e-09,1.11989380640118e-07,4.25125199500562
"KLK6",198.471956523876,5.49409864432841,0.910785680258213,6.03226287305132,1.61679488601961e-09,1.57719517070592e-07,5.49409864432841
"LOC124903209",219.991038075712,4.09011803475226,0.679469113924204,6.01957903741967,1.74871254013464e-09,1.68002599603244e-07,4.09011803475226
"OTOP2",532.225507239312,-4.58098374333765,0.763446198615354,-6.00040153667159,1.96830178368534e-09,1.84657090491581e-07,4.58098374333765
"FEZF1",10.6069997108442,6.75986862784894,1.13010511819166,5.98162818576186,2.20918100207403e-09,2.03835225329979e-07,6.75986862784894
"LOC105372442",48.2953024803971,5.49008245124755,0.935072794773533,5.87128882578303,4.32420156006046e-09,3.42268972382191e-07,5.49008245124755
"NPSR1-AS1",12.7949177630763,5.64737728514426,0.970648506664926,5.81814863605798,5.95029803702097e-09,4.47184091991923e-07,5.64737728514426
"CYP24A1",11.687716912633,4.29790481133614,0.74295208907509,5.78490171107353,7.25547401672887e-09,5.14825601740327e-07,4.29790481133614
"HSD3B2",269.559675190706,-4.00806070982052,0.694693642730776,-5.76953704954777,7.94896012439282e-09,5.54187227425561e-07,4.00806070982052
"DUXAP9",24.8665002049472,4.12389340571634,0.716883543867458,5.75252904184224,8.79181587318559e-09,6.00960382314546e-07,4.12389340571634
"LOC124902438",3.34309463106975,4.37325132726648,0.764709309710219,5.71884148883148,1.07252788244466e-08,6.97317721151286e-07,4.37325132726648
"LOC124901795",9.77053873527742,5.62895656997497,0.990322475915306,5.68396326133304,1.31608561034495e-08,8.33290548175791e-07,5.62895656997497
"DUXAP8",10.5458018987408,4.44561351547447,0.798312670060559,5.5687623185753,2.56555165630536e-08,1.4202901909868e-06,4.44561351547447
"MMP13",6.10182101016286,4.39564632386456,0.793979679917335,5.53622017672066,3.09068993346651e-08,1.65847252341503e-06,4.39564632386456
"LINC02772",2.84672907024053,4.10947217217099,0.745560264518766,5.51192488084583,3.54930410266405e-08,1.84096279773987e-06,4.10947217217099
"LOC124903139",6.67271612599298,4.590779004698,0.8503252991215,5.39885030992362,6.70693034403984e-08,3.14606798034097e-06,4.590779004698
"LEMD1",25.6188074330655,4.4618171637262,0.827871242573323,5.38950616264585,7.06515573529485e-08,3.25404545126257e-06,4.4618171637262
"TCP11",7.1009043655771,5.02468969252302,0.942554235977651,5.33092898077238,9.77116282222352e-08,4.25502179160285e-06,5.02468969252302
"LINC02432",16.3884092298299,4.50781945380563,0.851403308364371,5.29457591897968,1.1929292255016e-07,4.96290511270063e-06,4.50781945380563
"SMPX",4.41450170032942,5.11322960261362,0.966775673023948,5.28895145511895,1.23019532529524e-07,5.09519566063392e-06,5.11322960261362
"LOC124904345",9.58064808071915,4.68220500825199,0.892581409600803,5.24568958964321,1.55698855820481e-07,6.19185336013254e-06,4.68220500825199
"LOC105375237",15.4206529851092,4.90140480436841,0.935504515805662,5.23931709741379,1.61171894615809e-07,6.37185719109248e-06,4.90140480436841
"KLK8",27.8999100515407,5.92255732359148,1.13664526915958,5.21055907615798,1.88272417046213e-07,7.25004402666801e-06,5.92255732359148
"NPSR1",94.7418507917493,5.60451616749156,1.0846863451606,5.16694636426143,2.37949509798002e-07,8.68453582953361e-06,5.60451616749156
"LINC00659",20.6082329412927,4.07347483501951,0.790895998266164,5.15045574127262,2.59854249374336e-07,9.2780909958599e-06,4.07347483501951
"LOC107986229",6.13899666581053,4.54018583032281,0.888518309621781,5.10983935970374,3.22432844917829e-07,1.10730066799946e-05,4.54018583032281
"ELF5",27.4349810392815,5.75294501252208,1.12636645023421,5.10752518536562,3.2640560263061e-07,1.11488792020609e-05,5.75294501252208
"LOC105378088",39.4441007520803,4.63968083316868,0.918648248373409,5.05055209258153,4.4053495011614e-07,1.42546708337927e-05,4.63968083316868
"RP1",5.37149898513417,4.57017202119435,0.90510746334131,5.04931425968251,4.43398810262938e-07,1.4314203855105e-05,4.57017202119435
"LOC124900716",6.34804917748575,4.2881676068265,0.853707021241192,5.02299676602401,5.08714015763813e-07,1.61065886055594e-05,4.2881676068265
"KRT6A",28.5786626240146,5.47612957509597,1.09695497995718,4.99211879717229,5.97205020820052e-07,1.82058873433277e-05,5.47612957509597
"TCF24",2.86040078867441,4.00872188828351,0.807912173322082,4.96182879854366,6.98325350116543e-07,2.06278099098509e-05,4.00872188828351
"LOC102724046",5.31043585112207,4.07426949179445,0.822746458086337,4.95203528590203,7.3441282892472e-07,2.1499454930103e-05,4.07426949179445
"RAET1L",15.2696435092176,4.05939819033699,0.829059150942439,4.89639151286424,9.76124967577486e-07,2.70193323946176e-05,4.05939819033699
"CXCL17",4.0275642027522,4.15460539782505,0.857968763826269,4.84237372383678,1.2829716874085e-06,3.37422760723231e-05,4.15460539782505
"LINC02257",3.00083129107461,4.5338489148729,0.939452044759993,4.82605678508176,1.39262816389703e-06,3.57648245284375e-05,4.5338489148729
"REG1B",34.8829662180595,4.0465260884982,0.871381760771186,4.64380397968964,3.42052110070071e-06,7.41298514823951e-05,4.0465260884982
"OTOP3",26.0861175561176,-4.87728408085499,1.05227059113482,-4.63500939962133,3.56921261135939e-06,7.65805655992129e-05,4.87728408085499
"MIR31HG",4.87090646659832,5.1705828094152,1.12414464561652,4.5995707310241,4.23362431265908e-06,8.82813298253322e-05,5.1705828094152
"LOC107985452",14.8798518423308,5.70916844203682,1.24551838202191,4.58376891456942,4.56668914449634e-06,9.33954055915154e-05,5.70916844203682
"CCDC198",37.1519955505829,4.10487847814883,0.916277731060775,4.47995006208065,7.4660504954747e-06,0.000139152249134658,4.10487847814883
"LOC105372773",5.44443717842521,5.24403268297647,1.19200392239117,4.39934180120557,1.08579696131906e-05,0.000187960530325677,5.24403268297647
"KRT16",18.6899059183002,4.24179295676454,0.972089644626926,4.36358208341215,1.27949900459405e-05,0.000213813231747973,4.24179295676454
"EPYC",2.58791507281835,4.46374158082717,1.02417139286844,4.35839314777713,1.31020863903936e-05,0.000217903051288658,4.46374158082717
"FGF19",10.9029142689176,4.00900628285181,0.928538399716833,4.3175449546022,1.57774281547567e-05,0.000252339564600991,4.00900628285181
"KLK7",67.8462624271043,4.67055589736634,1.08744801879048,4.29496933799298,1.74717482789611e-05,0.000273952701421713,4.67055589736634
"LOC105374816",10.5387965188255,4.40338246839804,1.03928251379495,4.23694463242632,2.26581980893488e-05,0.00033622889808064,4.40338246839804
"AQP5-AS1",2.74465411592577,4.1591452986623,0.991708198595675,4.19392045417385,2.74174161413674e-05,0.000391275499267079,4.1591452986623
"LINC01234",21.9798983615803,4.58430020826828,1.10193706191543,4.16021964112876,3.17941685534001e-05,0.00043916480743449,4.58430020826828
"HAND1",4.08223300697107,5.03334925896935,1.21275448443547,4.15034479242709,3.31974815323504e-05,0.000454506361998002,5.03334925896935
"LOC124903045",2.15131082139953,4.16557369948048,1.03322333284332,4.03162952971382,5.53914541313286e-05,0.000685515220517731,4.16557369948048
"LINC02563",2.2796433037693,4.00041046121043,0.997232534505927,4.01151218275526,6.03310630794251e-05,0.000732381906431389,4.00041046121043
"LOC105372146",5.04184847775054,4.10933077628319,1.03242688789557,3.98026322683184,6.88390000146593e-05,0.000815479628563487,4.10933077628319
"LOC102723546",19.6167517892575,4.282286168769,1.15388144204312,3.71120117954801,0.000206278077448043,0.00190013396146439,4.282286168769
"LOC101927281",2.13889424641144,4.27413814842573,1.32849849247724,3.21726985211387,0.00129416811653333,0.00788945879501141,4.27413814842573
"LINC02474",5.28099340577181,4.99098313440338,1.70717066482221,2.92354082532408,0.00346074839662971,0.0168910864044303,4.99098313440338
